Iteration,Train Loss,Validation Loss
0,tensor(4.2540),tensor(4.2491)
250,tensor(2.0817),tensor(2.1559)
500,tensor(1.5741),tensor(1.7579)
750,tensor(1.3798),tensor(1.6007)
1000,tensor(1.2818),tensor(1.5240)
1250,tensor(1.2176),tensor(1.5018)
1500,tensor(1.1621),tensor(1.4855)
1750,tensor(1.1163),tensor(1.4706)
2000,tensor(1.0686),tensor(1.4679)
2250,tensor(1.0295),tensor(1.4765)
2500,tensor(0.9824),tensor(1.4861)
2750,tensor(0.9443),tensor(1.4993)
3000,tensor(0.8975),tensor(1.5155)
3250,tensor(0.8562),tensor(1.5408)
3500,tensor(0.8201),tensor(1.5600)
3750,tensor(0.7814),tensor(1.5778)
4000,tensor(0.7464),tensor(1.6066)
4250,tensor(0.7189),tensor(1.6161)
4500,tensor(0.7000),tensor(1.6396)
4750,tensor(0.6797),tensor(1.6499)
5000,tensor(0.6616),tensor(1.6696)
5000,tensor(0.6637),tensor(1.6710)
